view_count,tag_count,video_id
16994359,10,JzODRUBBXpc
16901900,34,kTJczUoc26U
16888040,1,OMAZB31W9nE
16883993,4,yOb9Xaug35M
16874526,30,giXco2jaZ_4
16858719,1,IoZri9hq7z4
16849191,1,bVm_yp7lfzo
16816268,4,HzOjwL7IP_o
16815388,24,-A1J8rzJp8E
16814539,1,-ERGZ_ispGc
16783640,9,2S4qGKmzBJE
16731375,14,IiMinixSXII
16706938,20,5VYb3B1ETlk
16704233,6,BflFNMl_UWY
16673393,1,LnB2Zg3um0g
16659964,25,OUCRVxzD3a8
16652812,22,R7klyFU_6xM
16645279,1,5fE9q0UMmIY
16640091,36,4VaqA-5aQTM
16634712,28,pAzEY1MfXrQ
16598181,20,7oxlCKMlpZw
16587955,26,0NzlbBmkM3E
16571070,29,dI3xkL7qUAc
16548226,33,5D4vjndnB0w
16530621,1,oTwjgtWESrU
16529758,6,E_SZ3ObGyTA
16511021,1,wxo1bhuBhec
16493534,33,DotnJ7tTA34
16479593,19,mkiA9tuJ-xM
16468179,28,UnA7tepsc7s
16451202,1,bZ12FX-m60w
16426350,7,ZSMoo4s2YEA
16421279,1,MwHHErfX9hI
16399593,1,lcmn_PCabq8
16375800,6,OORBa32WFcM
16375317,23,PS0qkO5qty0
16366890,3,KF8I09WBtEI
16364620,1,M9SVC_lIpss
16361087,1,F1fl60ypdLs
16358525,25,44wLAzydRFU
16346291,4,pSUydWEqKwE
16334105,19,ojpTpT5i-PI
16317304,17,OODneEUWUQY
16247240,1,vMqd2juJMgA
16243147,38,tli25GoI8yg
16236136,21,Vd9QkWsd5p4
16221372,24,G7KNmW9a75Y
16215021,12,c2u2PvD2iSs
16151846,1,A5-0qodYEYg
16143739,25,HRXVQ77ehRQ
16143306,1,jk6thMe6Vq8
16141548,1,GJmeAgMQTxs
16111580,46,SB9V9gnHGtA
16084371,24,aONT7atzqfw
16074230,46,qUUloBe5vEo
16050319,1,mE6Ro8C95kc
16002547,6,QwzvNAAqH3g
15980809,1,HRdyfERwQZs
15977939,7,YKKh8d4wZbU
15977214,1,IPtpwh7r0Eo
15972853,25,yQBImEeXNZ4
15956197,28,0m0w1wEReOI
15935171,5,OV5zVTlE1S0
15903469,24,DFMEBquxeO8
15866689,5,8HEfIJlcFbs
15866604,21,ffcitRgiNDs
15853263,7,fHeQemJJQII
